genes	logFC	logCPM	F	PValue	FDR
EZH2_Striata_PeakRegion_12544_chrX_7765800_7766399	-2.15541936319843	-1.09268132502958	10.7860010213469	0.00431227762167963	0.999987890101279
EZH2_Striata_PeakRegion_806_chr2_25252000_25253199	1.4297984505138	-0.0583146543124242	9.66731968131948	0.00629576211792379	0.999987890101279
EZH2_Striata_PeakRegion_10970_chr16_35021800_35023799	0.929152126767432	2.04946207399964	7.2112131444689	0.0155113375345839	0.999987890101279
EZH2_Striata_PeakRegion_11824_chr18_32162800_32164599	1.06724571175375	2.25320181567644	7.1253327633273	0.0160406500835262	0.999987890101279
EZH2_Striata_PeakRegion_2748_chr4_126777400_126780399	0.848493124859573	1.99595327700891	6.96567105308974	0.0170801322364209	0.999987890101279
EZH2_Striata_PeakRegion_1970_chr3_89299400_89300399	0.921460546528417	1.05042256365641	6.6099216985339	0.0196834909823327	0.999987890101279
EZH2_Striata_PeakRegion_10834_chr16_17199800_17203599	0.862129934318752	2.47055277315415	6.55644720220036	0.0201125695659384	0.999987890101279
EZH2_Striata_PeakRegion_10142_chr14_101839800_101844799	0.788622453386275	2.77879534018855	6.42195456586744	0.0212395955960453	0.999987890101279
EZH2_Striata_PeakRegion_10001_chr14_61359000_61361199	0.94693689474385	1.81968031582369	6.33327776122409	0.0220220102770329	0.999987890101279
EZH2_Striata_PeakRegion_6045_chr8_103582400_103584399	-0.940700758527417	0.906503684063776	6.30753939896636	0.0222552154844444	0.999987890101279
EZH2_Striata_PeakRegion_2057_chr3_97878000_97879999	0.897616938074242	0.877489545677668	6.21435611274695	0.0231233612118029	0.999987890101279
EZH2_Striata_PeakRegion_6186_chr8_119784200_119784999	1.06252627192771	0.0248791804823892	6.16850386572744	0.0235646714380298	0.999987890101279
EZH2_Striata_PeakRegion_2185_chr3_124319800_124322399	0.783424876828531	2.38602452100426	6.1533980997532	0.0237121553555892	0.999987890101279
EZH2_Striata_PeakRegion_6844_chr9_97109800_97111599	0.787518207163068	2.61474232017521	5.78269143741214	0.0276837727143385	0.999987890101279
EZH2_Striata_PeakRegion_11624_chr17_66110000_66112799	0.791373299453978	2.21029611850061	5.77952598514808	0.027720812928837	0.999987890101279
EZH2_Striata_PeakRegion_6745_chr9_72274200_72276399	0.86655189214602	1.74047089096652	5.72082952387212	0.0284180113133313	0.999987890101279
EZH2_Striata_PeakRegion_11126_chr16_96125400_96129999	0.872983430321317	4.11667232930459	5.71713457245146	0.0284625662677079	0.999987890101279
EZH2_Striata_PeakRegion_4436_chr6_99091600_99099599	0.751844141665429	2.88803742841372	5.70787228191587	0.0285746054598154	0.999987890101279
EZH2_Striata_PeakRegion_8105_chr11_70557000_70557799	-1.10453564372971	-0.0034564807194697	5.57323275040423	0.0302615489821906	0.999987890101279
EZH2_Striata_PeakRegion_10195_chr15_4305000_4306999	0.839241110161951	2.17590242841462	5.56995720360369	0.0303039864201022	0.999987890101279
EZH2_Striata_PeakRegion_9353_chr13_21782200_21784599	0.753109982920926	2.28426657408642	5.55629308513853	0.0304817525760327	0.999987890101279
EZH2_Striata_PeakRegion_1810_chr3_37585800_37587199	0.888884787732012	0.771782684771542	5.52118364263105	0.0309440151159863	0.999987890101279
EZH2_Striata_PeakRegion_7133_chr10_20672600_20675399	0.828754396019937	1.73193071165416	5.50974516000936	0.0310963470824094	0.999987890101279
EZH2_Striata_PeakRegion_6324_chr9_10903800_10905199	0.854867959382843	1.30745181390892	5.46063739653076	0.0317601698797365	0.999987890101279
EZH2_Striata_PeakRegion_8862_chr12_29286800_29291999	0.683585091402967	3.09260713059968	5.43150928533209	0.0321615763940157	0.999987890101279
EZH2_Striata_PeakRegion_500_chr1_154581400_154582799	0.972487386442303	0.277272970648191	5.33425123037307	0.0335445828674043	0.999987890101279
EZH2_Striata_PeakRegion_5137_chr7_78527400_78532599	0.750052892207413	2.29349279164859	5.30560804284548	0.0339647936011327	0.999987890101279
EZH2_Striata_PeakRegion_4172_chr6_42678200_42679199	-1.01676531059173	0.379015843000269	5.23002403005546	0.0351029416398968	0.999987890101279
EZH2_Striata_PeakRegion_9046_chr12_83526400_83528999	0.825988119126212	1.09425903982468	5.2299558095421	0.0351039884817414	0.999987890101279
EZH2_Striata_PeakRegion_11656_chr17_74488600_74490199	0.863609397288946	1.15045174519788	5.2123143667398	0.0353759020761428	0.999987890101279
EZH2_Striata_PeakRegion_622_chr1_178368400_178369999	0.733975181455756	1.98296797439443	5.07511026731371	0.037575189785428	0.999987890101279
EZH2_Striata_PeakRegion_7571_chr10_112927400_112930399	0.740044688452402	2.70449832388179	5.03169917727395	0.0383034470214376	0.999987890101279
EZH2_Striata_PeakRegion_10433_chr15_78602800_78603599	-1.03382396564448	-0.631719284389493	5.01859583283088	0.0385264436321301	0.999987890101279
EZH2_Striata_PeakRegion_4449_chr6_99482400_99486599	0.690432721488171	2.44745885769238	5.00830459414858	0.0387026294104599	0.999987890101279
EZH2_Striata_PeakRegion_1457_chr2_150902600_150905599	0.827706309261018	2.46591012949359	4.99923642138409	0.0388586441871393	0.999987890101279
EZH2_Striata_PeakRegion_5765_chr8_54954200_54958399	0.754382798993755	2.51383303687542	4.9786249566841	0.039215953970696	0.999987890101279
EZH2_Striata_PeakRegion_9813_chr14_20544400_20546799	0.757574391528283	1.75283748004435	4.97833206399105	0.039221058556709	0.999987890101279
EZH2_Striata_PeakRegion_5093_chr7_64872000_64874999	0.790343203321247	2.5179409647703	4.92276266001647	0.0402035042056755	0.999987890101279
EZH2_Striata_PeakRegion_7539_chr10_97312600_97314799	0.843959140352647	1.46296268907718	4.92104476462523	0.0402343239224578	0.999987890101279
EZH2_Striata_PeakRegion_4320_chr6_83828400_83833199	0.695424707695465	2.6650128329248	4.90070175213887	0.0406013597799538	0.999987890101279
EZH2_Striata_PeakRegion_1825_chr3_51204200_51204999	1.31820794850612	-0.824298348250228	4.89487478228479	0.0407072007184741	0.999987890101279
EZH2_Striata_PeakRegion_12746_chrX_136115600_136116199	0.838225239299268	0.859756377276177	4.89456446431897	0.0407128462235391	0.999987890101279
EZH2_Striata_PeakRegion_323_chr1_90998200_90999999	0.741054940486351	1.83582615542373	4.88526549918033	0.0408824377173237	0.999987890101279
EZH2_Striata_PeakRegion_4062_chr6_6647200_6647999	0.964358826182115	0.944007146689468	4.8833145528554	0.0409181215190259	0.999987890101279
EZH2_Striata_PeakRegion_10973_chr16_35243000_35244399	0.869869147325815	0.529938249413993	4.85692174607801	0.0414043989225841	0.999987890101279
EZH2_Striata_PeakRegion_829_chr2_25882800_25884599	-0.842056728529692	0.724268728263657	4.79190478091831	0.0426309576798993	0.999987890101279
EZH2_Striata_PeakRegion_532_chr1_161070000_161072399	0.696484021120268	2.21988725771055	4.78727266295494	0.0427199284384598	0.999987890101279
EZH2_Striata_PeakRegion_4879_chr7_28571200_28574799	-0.806577477007218	1.71714142385151	4.77991948303359	0.0428616032045357	0.999987890101279
EZH2_Striata_PeakRegion_5780_chr8_60953200_60955199	0.768944546563546	1.58930710065518	4.77933321814604	0.0428729221289618	0.999987890101279
EZH2_Striata_PeakRegion_6330_chr9_14243800_14249399	0.652291315004154	2.96859831942032	4.76960576357367	0.0430612320173105	0.999987890101279
EZH2_Striata_PeakRegion_3458_chr5_76138800_76142599	0.707288434588239	2.69142739413916	4.76457379029852	0.0431590177975054	0.999987890101279
EZH2_Striata_PeakRegion_3167_chr5_9265400_9267799	0.731032444823014	1.82679621555833	4.75148300558376	0.0434146103588501	0.999987890101279
EZH2_Striata_PeakRegion_3290_chr5_33782200_33784999	0.737152777496647	2.37599973097759	4.7483178128308	0.0434766710735717	0.999987890101279
EZH2_Striata_PeakRegion_8173_chr11_76406200_76409799	0.655230741527076	2.86622219663295	4.74637292895949	0.043514855592425	0.999987890101279
EZH2_Striata_PeakRegion_10250_chr15_31535200_31537199	0.832827167116446	0.869639810214561	4.74286725354653	0.043583781270901	0.999987890101279
EZH2_Striata_PeakRegion_3173_chr5_15933400_15936199	0.753980678199254	2.02524878730291	4.68634389006565	0.0447126529400767	0.999987890101279
EZH2_Striata_PeakRegion_11167_chr17_8734000_8735199	0.846623941011926	0.549435762308149	4.66951823249226	0.0450551759759181	0.999987890101279
EZH2_Striata_PeakRegion_763_chr2_17713600_17718599	0.688009567253897	2.24633449368869	4.62706063495037	0.0459330300929443	0.999987890101279
EZH2_Striata_PeakRegion_616_chr1_177441400_177442199	1.01866285014094	1.32921119059278	4.62636388189682	0.0459475998468318	0.999987890101279
EZH2_Striata_PeakRegion_8672_chr11_117751000_117752199	0.741060554810007	1.20284691835991	4.57091328247105	0.0471244124252851	0.999987890101279
EZH2_Striata_PeakRegion_12318_chr19_21471200_21473199	0.732347036864251	2.13422744583581	4.56921461816048	0.047161008136058	0.999987890101279
EZH2_Striata_PeakRegion_12313_chr19_17393800_17395399	0.863933963691732	1.29866191950558	4.56786373246582	0.0471901347900285	0.999987890101279
EZH2_Striata_PeakRegion_740_chr2_6863800_6885599	0.662326671773048	4.63447833673844	4.55155699272621	0.047543370414676	0.999987890101279
EZH2_Striata_PeakRegion_3557_chr5_110229800_110232799	0.744484519686502	2.35780783275933	4.5316813207168	0.0479780523112597	0.999987890101279
EZH2_Striata_PeakRegion_528_chr1_160570400_160580399	0.688794179975424	3.63843500698652	4.51649323853766	0.048313311636412	0.999987890101279
EZH2_Striata_PeakRegion_4140_chr6_34909000_34911199	0.747345796272516	2.15488330934999	4.47854974750591	0.0491627635172093	0.999987890101279
EZH2_Striata_PeakRegion_10625_chr15_97247800_97248399	1.02397476471852	0.155603822331382	4.46754965442565	0.0494122438669081	0.999987890101279
EZH2_Striata_PeakRegion_2695_chr4_122868000_122869999	0.941142555687664	0.84155331745034	4.4511394266034	0.0497871500755261	0.999987890101279
EZH2_Striata_PeakRegion_12588_chrX_20919400_20921599	0.757534926807212	1.84685199815636	4.44463587066472	0.0499366386292591	0.999987890101279
